epoch,train_loss,train_mae,val_loss,val_mae,lr
1,441.683598,47.585143,200.083742,32.376794,0.00010000
2,203.560139,32.945922,198.936974,32.918079,0.00010000
3,199.771860,32.740540,199.501997,32.671036,0.00010000
4,200.450080,32.803763,200.450356,32.235918,0.00010000
5,197.709948,32.528157,189.103220,31.286072,0.00010000
6,189.026842,31.451741,180.126733,30.866590,0.00010000
7,189.266764,31.548741,178.502681,30.742991,0.00010000
8,181.803520,30.703238,179.007688,30.967842,0.00010000
9,183.106698,30.895393,191.396779,31.902327,0.00010000
10,185.184428,31.030786,178.400121,30.720507,0.00010000
